Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,City
1/1/2012 0:00,-1.8,-3.9,86,4,8.0,101.24,Fog,Mumbai
1/1/2012 1:00,-1.8,-3.7,87,4,8.0,101.24,Fog,Bangalore
1/1/2012 2:00,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog",Jaipur
1/1/2012 3:00,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog",Chennai
1/1/2012 4:00,-1.5,-3.3,88,7,4.8,101.23,Fog,Ahmedabad
1/1/2012 5:00,-1.4,-3.3,87,9,6.4,101.27,Fog,Mumbai
1/1/2012 6:00,-1.5,-3.1,89,7,6.4,101.29,Fog,Chennai
1/1/2012 7:00,-1.4,-3.6,85,7,8.0,101.26,Fog,Jaipur
1/1/2012 8:00,-1.4,-3.6,85,9,8.0,101.23,Fog,Pune
1/1/2012 9:00,-1.3,-3.1,88,15,4.0,101.2,Fog,Ahmedabad
1/1/2012 10:00,-1.0,-2.3,91,9,1.2,101.15,Fog,Ahmedabad
1/1/2012 11:00,-0.5,-2.1,89,7,4.0,100.98,Fog,Jaipur
1/1/2012 12:00,-0.2,-2.0,88,9,4.8,100.79,Fog,Bangalore
1/1/2012 13:00,0.2,-1.7,87,13,4.8,100.58,Fog,Bangalore
1/1/2012 14:00,0.8,-1.1,87,20,4.8,100.31,Fog,Mumbai
1/1/2012 15:00,1.8,-0.4,85,22,6.4,100.07,Fog,Pune
1/1/2012 16:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy,Lucknow
1/1/2012 17:00,3.0,0.0,81,13,16.1,99.81,Cloudy,Kolkata
1/1/2012 18:00,3.8,1.0,82,15,12.9,99.74,Rain,Hyderabad
1/1/2012 19:00,3.1,1.3,88,15,12.9,99.68,Rain,Hyderabad
1/1/2012 20:00,3.2,1.3,87,19,25.0,99.5,Cloudy,Chennai
1/1/2012 21:00,4.0,1.7,85,20,25.0,99.39,Cloudy,Chennai
1/1/2012 22:00,4.4,1.9,84,24,19.3,99.32,Rain Showers,Pune
1/1/2012 23:00,5.3,2.0,79,30,25.0,99.31,Cloudy,Kolkata
1/2/2012 0:00,5.2,1.5,77,35,25.0,99.26,Rain Showers,Jaipur
1/2/2012 1:00,4.6,0.0,72,39,25.0,99.26,Cloudy,Pune
1/2/2012 2:00,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy,Jaipur
1/2/2012 3:00,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy,Lucknow
1/2/2012 4:00,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy,Mumbai
1/2/2012 5:00,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy,Pune
1/2/2012 6:00,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy,Lucknow
1/2/2012 7:00,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy,Chennai
1/2/2012 8:00,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy,Jaipur
1/2/2012 9:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy,Bangalore
1/2/2012 10:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy,Chennai
1/2/2012 11:00,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy,Lucknow
1/2/2012 12:00,1.7,-6.2,56,48,24.1,99.21,Mainly Clear,Delhi
1/2/2012 13:00,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy,Ahmedabad
1/2/2012 14:00,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy,Bangalore
1/2/2012 15:00,0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy,Mumbai
1/2/2012 16:00,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy,Mumbai
1/2/2012 17:00,-2.1,-9.5,57,22,25.0,99.66,Snow Showers,Delhi
1/2/2012 18:00,-4.1,-11.4,57,28,25.0,99.86,Mostly Cloudy,Chennai
1/2/2012 19:00,-4.8,-12.1,57,24,25.0,100.0,Mostly Cloudy,Pune
1/2/2012 20:00,-5.6,-13.4,54,24,25.0,100.07,Snow Showers,Mumbai
1/2/2012 21:00,-5.8,-12.8,58,26,25.0,100.15,Snow Showers,Chennai
1/2/2012 22:00,-7.0,-14.7,54,20,25.0,100.26,Cloudy,Delhi
1/2/2012 23:00,-7.4,-14.1,59,17,19.3,100.27,Snow Showers,Kolkata
1/3/2012 0:00,-9.0,-16.0,57,28,25.0,100.35,Snow Showers,Chennai
1/3/2012 1:00,-9.7,-17.2,54,20,25.0,100.43,Cloudy,Pune
1/3/2012 2:00,-10.5,-15.8,65,22,12.9,100.53,Snow Showers,Ahmedabad
1/3/2012 3:00,-11.3,-18.7,54,33,25.0,100.61,Snow Showers,Hyderabad
1/3/2012 4:00,-12.6,-20.1,53,24,25.0,100.68,Cloudy,Delhi
1/3/2012 5:00,-12.9,-19.1,60,22,25.0,100.76,Snow Showers,Kolkata
1/3/2012 6:00,-13.3,-19.3,61,19,25.0,100.85,Snow Showers,Hyderabad
1/3/2012 7:00,-14.0,-19.5,63,19,25.0,100.95,Snow,Kolkata
1/3/2012 8:00,-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy,Delhi
1/3/2012 9:00,-15.0,-21.9,56,19,24.1,101.2,Mostly Cloudy,Lucknow
1/3/2012 10:00,-15.3,-22.2,56,24,24.1,101.29,Cloudy,Hyderabad
1/3/2012 11:00,-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy,Hyderabad
1/3/2012 12:00,-14.9,-22.6,52,20,24.1,101.34,Mainly Clear,Ahmedabad
1/3/2012 13:00,-15.1,-22.4,54,22,24.1,101.34,Mainly Clear,Ahmedabad
